,timeline,AOP,MAP,num_users
0,Wk_19,0.028144239226033426,0.03853711762682739,379
1,Wk_20,0.02395209580838322,0.03128647106940519,334
2,Wk_21,0.017639902676399016,0.020841649901868882,411
3,Wk_22,0.018136335209505937,0.022698710503588557,533
4,Wk_23,0.022627965043695374,0.02959429208258797,534
5,Wk_24,0.01578282828282828,0.015353366821169851,396
6,Wk_25,0.019868496283590623,0.024033739749863253,583
7,Wk_26,0.01595214356929213,0.02145334678983732,1003
8,Wk_27,0.0181732580037665,0.022276402714255815,885
9,Wk_28,0.01614434947768282,0.019049254928884558,702
10,Wk_29,0.017826086956521735,0.021501301838258362,575
11,Wk_30,0.010912698412698412,0.011377236079617032,84
12,Wk_31,0.018518518518518514,0.027437822808193194,351
