,timeline,AOP,MAP,num_users
0,Wk_19,0.031002638522427454,0.04348278456128061,379
1,Wk_20,0.026748971193415644,0.02828315700890656,567
2,Wk_21,0.015900383141762463,0.02000130616509927,870
3,Wk_22,0.014953779227841224,0.016941209166943246,1226
4,Wk_23,0.01585999453103636,0.0240062323891282,1219
5,Wk_24,0.014347937483986684,0.018295612136888073,1301
6,Wk_25,0.010546642899584076,0.015889842315867257,2244
7,Wk_26,0.011452324397692556,0.014901318801471488,2947
8,Wk_27,0.013130948078544747,0.016691395732324515,2767
9,Wk_28,0.010222925735391101,0.013551525915495053,2527
10,Wk_29,0.009070972886762351,0.01367925188698713,2508
11,Wk_30,0.009207343887423025,0.011613298140342995,3032
12,Wk_31,0.009925735504141685,0.013289348786349643,1167
