,timeline,AOP,MAP,num_users
0,Wk_19,0.012532981530343006,0.01804614019323782,379
1,Wk_20,0.007734530938123753,0.011129085623846104,334
2,Wk_21,0.011372110365398952,0.016208317326885564,447
3,Wk_22,0.010631644777986239,0.012933859275322687,533
4,Wk_23,0.008895131086142321,0.010147950433530959,534
5,Wk_24,0.011363636363636366,0.014353651048726808,396
6,Wk_25,0.00857632933104631,0.009661364935807477,583
7,Wk_26,0.010884014622798276,0.011560436535511316,1003
8,Wk_27,0.009416195856873812,0.011357420043860726,885
9,Wk_28,0.008190883190883185,0.01075796203111018,702
10,Wk_29,0.010579710144927526,0.013792631281761718,575
11,Wk_30,0.009891598915989156,0.013228539752930002,615
12,Wk_31,0.012820512820512824,0.01686512218919626,351
